,id,city_code
3753,2275475614,13122
3754,2275475639,13122
3755,2275475675,13122
3756,2275475689,13122
3757,2283278899,12212
3758,2284466382,9206
3759,2286466407,9206
3760,2286785937,9206
3761,2288036739,9206
3762,2288036757,9206
3763,2288693447,13206
3764,2290566556,9209
3765,2290566703,9209
3766,2290566729,9209
3767,2290662212,14117
3768,2291014847,13201
3769,2293574998,9211
3770,2293575009,9211
3771,2293575049,9211
3772,2299030265,9206
3773,2300370840,12211
3774,2302251162,8364
3775,2302251163,8364
3776,2306677986,8207
3777,2306677987,8207
3778,2306677988,8207
3779,2306677990,9208
3780,2317234779,9208
3781,2319749855,9208
3782,2319749863,9208
3783,2319749978,9208
3784,2319749984,9208
3785,2319749986,9208
3786,2319749992,9208
3787,2319750000,9208
3788,2319750015,9208
3789,2319750017,9208
3790,2319750022,9208
3791,2331295791,14109
3792,2331399689,14109
3793,2337166628,14101
3794,2337166649,14101
3795,2337173804,14102
3796,2337173880,14102
3797,2337831791,11104
3798,2340776812,14101
3799,2340883350,14101
3800,2343906026,14131
3801,2347282216,12239
3802,2347295930,12105
3803,2347375777,7204
3804,2348746910,8212
3805,2352161334,15461
3806,2353352900,15482
3807,2354073577,15226
3808,2354103050,15226
3809,2354159597,15226
3810,2354165997,15226
3811,2354171701,15226
3812,2354172073,15226
3813,2354204022,15226
3814,2354204433,15226
3815,2354204708,15226
3816,2354206589,15226
3817,2354210777,15226
3818,2354224337,15226
3819,2354225120,15226
3820,2356008633,12211
3821,2359543148,7408
3822,2359605410,7205
3823,2359605560,7205
3824,2359610211,7205
3825,2359630164,7205
3826,2359630238,7205
3827,2359635158,7205
3828,2359683849,7362
3829,2359686107,7362
3830,2359691306,7362
3831,2359749229,7504
3832,2359749341,7504
3833,2359755463,7504
3834,2359765021,7501
3835,2359795499,7502
3836,2359797580,7502
3837,2359802680,7502
3838,2360780007,14135
3839,2367305036,12322
3840,2368144133,13116
3841,2368148300,13116
3842,2372403321,12322
3843,2372403436,12322
3844,2372403526,12211
3845,2377767847,12231
3846,2382036248,11101
3847,2382806750,12101
3848,2384091471,13201
3849,2385614229,12105
3850,2385614245,12105
3851,2385639059,12105
3852,2385639073,12105
3853,2385639078,12105
3854,2386524790,12105
3855,2392843921,11208
3856,2392843991,11208
3857,2397420164,12105
3858,2398353493,8203
3859,2398353511,8205
3860,2398353538,8216
3861,2399126620,11208
3862,2399485006,12105
3863,2406680092,11215
3864,2406680097,11215
3865,2407034530,11235
3866,2407034532,11235
3867,2408164871,10203
3868,2417594035,13109
3869,2419567162,13201
3870,2419981970,10201
3871,2419982100,10201
3872,2420817441,12212
3873,2420817461,12212
3874,2420817474,12212
3875,2420817486,12212
3876,2420843000,12212
3877,2420871883,13111
3878,2421832270,12212
3879,2425245854,7202
3880,2427390315,14137
3881,2427422260,13118
3882,2428943480,13111
3883,2429680078,13118
3884,2438495942,11408
3885,2440005011,11242
3886,2441078695,7367
3887,2442452298,13308
3888,2442452352,13308
3889,2442452357,13308
3890,2449114729,13116
3891,2449114729,13116
3892,2450253496,12212
3893,2450435757,12221
3894,2452960454,13201
3895,2460003850,13227
3896,2460075698,9204
3897,2460075764,9204
3898,2460075774,9204
3899,2460075785,9204
3900,2460075823,9204
3901,2460075874,9204
3902,2460186898,9204
3903,2461099690,14117
3904,2462978996,12203
3905,2465097826,10201
3906,2465098009,10201
3907,2467338789,12216
3908,2467338801,12216
3909,2467338813,12204
3910,2467338815,12204
3911,2467338823,12204
3912,2467338825,12204
3913,2467338829,12204
3914,2467338832,12204
3915,2467338836,12204
3916,2467338838,12204
3917,2467338840,12204
3918,2467338842,12204
3919,2467338844,12204
3920,2467338848,12204
3921,2467338858,12204
3922,2467338864,12204
3923,2467338866,12204
3924,2467338883,12204
3925,2467338885,12204
3926,2467338891,12204
3927,2467338897,12204
