,city_code,city,pre_code
5530,26303,大山崎町,26
5324,26343,井手町,26
7411,26364,笠置町,26
6252,26366,精華町,26
10152,26367,南山城村,26
5386,26407,京丹波町,26
5346,26465,与謝野町,26
10119,27103,大阪市 福島区,27
7039,27104,大阪市 此花区,27
7857,27111,大阪市 浪速区,27
10404,27113,大阪市 西淀川区,27
5452,27114,大阪市 東淀川区,27
10001,27118,大阪市 城東区,27
6572,27119,大阪市 阿倍野区,27
5391,27120,大阪市 住吉区,27
5596,27122,大阪市 西成区,27
5464,27123,大阪市 淀川区,27
6258,27124,大阪市 鶴見区,27
6226,27126,大阪市 平野区,27
5392,27141,堺市 堺区,27
7030,27143,堺市 東区,27
6152,27144,堺市 西区,27
7633,27146,堺市 北区,27
6545,27203,豊中市,27
7163,27204,池田市,27
6612,27205,吹田市,27
7090,27206,泉大津市,27
5539,27207,高槻市,27
6466,27210,枚方市,27
6450,27211,茨木市,27
6223,27212,八尾市,27
6725,27214,富田林市,27
7056,27215,寝屋川市,27
5481,27217,松原市,27
6247,27218,大東市,27
6153,27219,和泉市,27
5403,27220,箕面市,27
6176,27221,柏原市,27
5507,27222,羽曳野市,27
6451,27224,摂津市,27
7092,27225,高石市,27
5565,27226,藤井寺市,27
6257,27227,東大阪市,27
5562,27229,四條畷市,27
6254,27230,交野市,27
7119,27231,大阪狭山市,27
5538,27301,島本町,27
7162,27321,豊能町,27
7970,27381,太子町,27
6577,28101,神戸市 東灘区,28
6579,28102,神戸市 灘区,28
8601,28105,神戸市 兵庫区,28
5387,28106,神戸市 長田区,28
5813,28107,神戸市 須磨区,28
8589,28108,神戸市 垂水区,28
5365,28109,神戸市 北区,28
6988,28111,神戸市 西区,28
5822,28201,姫路市,28
5343,28202,尼崎市,28
5817,28203,明石市,28
5399,28204,西宮市,28
5579,28206,芦屋市,28
5364,28207,伊丹市,28
4137,28208,相生市,28
5397,28209,豊岡市,28
5814,28210,加古川市,28
3598,28212,赤穂市,28
5317,28213,西脇市,28
5402,28214,宝塚市,28
5517,28215,三木市,28
5818,28216,高砂市,28
7159,28217,川西市,28
5588,28218,小野市,28
5518,28219,三田市,28
6589,28220,加西市,28
6004,28221,丹波篠山市,28
5824,28222,養父市,28
5972,28223,丹波市,28
5828,28225,朝来市,28
5952,28228,加東市,28
3878,28229,たつの市,28
6269,28382,播磨町,28
5406,28442,市川町,28
5940,28443,福崎町,28
5493,28446,神河町,28
5820,28464,太子町,28
3584,28481,上郡町,28
3573,28501,佐用町,28
5313,28585,香美町,28
3521,28586,新温泉町,28
5465,29201,奈良市,29
6145,29202,大和高田市,29
5376,29203,大和郡山市,29
6158,29204,天理市,29
6167,29205,橿原市,29
5328,29206,桜井市,29
6909,29209,生駒市,29
6144,29210,香芝市,29
6710,29211,葛城市,29
6505,29212,宇陀市,29
8016,29342,平群町,29
6202,29343,三郷町,29
10145,29344,斑鳩町,29
6220,29345,安堵町,29
7575,29361,川西町,29
7994,29362,三宅町,29
6511,29363,田原本町,29
6147,29425,王寺町,29
6516,29426,広陵町,29
7053,29427,河合町,29
3511,31201,鳥取市,31
3506,31202,米子市,31
4012,31203,倉吉市,31
3534,31204,境港市,31
3505,31302,岩美町,31
3980,31325,若桜町,31
3524,31328,智頭町,31
3526,31329,八頭町,31
3631,31370,湯梨浜町,31
3640,31371,琴浦町,31
3634,31372,北栄町,31
4085,31386,大山町,31
3769,31390,伯耆町,31
3787,31401,日南町,31
3775,31402,日野町,31
3766,31403,江府町,31
3639,32201,松江市,32
3651,32202,浜田市,32
3642,32203,出雲市,32
3653,32204,益田市,32
3652,32205,大田市,32
4025,32206,安来市,32
3649,32207,江津市,32
