,id,pre_code
2080,1356076781,11
2081,1356078039,11
2082,1356078105,11
2083,1356078181,11
2084,1356078741,11
2085,1356079510,11
2086,1356079638,11
2087,1356079875,11
2088,1356222834,11
2089,1356222873,11
2090,1360279087,9
2091,1360594271,12
2092,1360594587,12
2093,1361190250,12
2094,1361190463,12
2095,1361191931,12
2096,1361192264,12
2097,1361704730,12
2098,1361706429,12
2099,1362269664,11
2100,1362271675,11
2101,1362364543,11
2102,1362463122,11
2103,1362463263,11
2104,1363105559,11
2105,1363153142,11
2106,1363165603,11
2107,1363166134,11
2108,1364429008,8
2109,1365051783,11
2110,1366326179,11
2111,1368629745,11
2112,1368630502,11
2113,1368705457,11
2114,1368705630,11
2115,1369634433,11
2116,1369658383,11
2117,1369664907,11
2118,1369687177,11
2119,1369693497,11
2120,1369720552,11
2121,1369720556,11
2122,1369720560,11
2123,1369720562,11
2124,1369720570,11
2125,1369720572,11
2126,1372125816,13
2127,1373809874,13
2128,1374375136,11
2129,1374625959,13
2130,1374626176,13
2131,1374626600,13
2132,1374715153,13
2133,1374745037,13
2134,1375293917,13
2135,1375318663,13
2136,1375349433,14
2137,1375349500,14
2138,1375349609,14
2139,1376646312,14
2140,1376646700,14
2141,1377285595,11
2142,1377285769,11
2143,1381530404,11
2144,1384176215,15
2145,1384196255,15
2146,1384212568,15
2147,1384327827,15
2148,1384338773,15
2149,1389165380,14
2150,1389192920,14
2151,1389192926,14
2152,1389199546,14
2153,1397837160,11
2154,1397837417,11
2155,1399951587,13
2156,1399951664,13
2157,1399951764,13
2158,1399951829,13
2159,1400993898,11
2160,1401085969,11
2161,1401086067,11
2162,1403578554,13
2163,1403904434,12
2164,1403961500,12
2165,1404306120,11
2166,1404306324,11
2167,1404604735,14
2168,1404604825,14
2169,1410082062,11
2170,1410083069,11
2171,1412683232,12
2172,1412683489,12
2173,1413694112,11
2174,1413696140,11
2175,1413706352,11
2176,1414046715,11
2177,1414308706,11
2178,1414309237,11
2179,1414309642,11
2180,1414745100,11
2181,1415689034,11
2182,1415689464,11
2183,1415689624,11
2184,1415689778,11
2185,1416043847,11
2186,1416642801,11
2187,1417315824,11
2188,1418035197,8
2189,1418036980,8
2190,1418038506,8
2191,1418038882,8
2192,1421458143,12
2193,1421470726,12
2194,1421472744,12
2195,1421476025,12
2196,1421477565,12
2197,1421553158,12
2198,1421554286,12
2199,1421554856,12
2200,1421567708,12
2201,1421579532,12
2202,1421582622,12
2203,1421840001,13
2204,1424084384,11
2205,1424912621,11
2206,1428332329,19
2207,1428332333,19
2208,1428341218,19
2209,1428341250,19
2210,1428341314,19
2211,1428348469,19
2212,1428348552,19
2213,1429715681,19
2214,1429715727,19
2215,1429715760,19
2216,1429715838,19
2217,1429715925,19
2218,1429715929,19
2219,1429718747,19
2220,1429718761,19
2221,1429718784,19
2222,1429723210,19
2223,1429723279,19
2224,1429723386,19
2225,1429740857,8
2226,1429741536,8
2227,1429749343,19
2228,1429749410,19
2229,1429749425,19
2230,1429749465,19
2231,1429749529,19
2232,1429767858,19
2233,1429767915,19
2234,1429767930,19
2235,1429767990,19
2236,1429944957,19
2237,1429945110,19
2238,1429945143,19
2239,1429968385,19
2240,1429968434,19
2241,1429975470,19
2242,1432274339,11
2243,1434006817,11
2244,1435081550,11
2245,1435082144,11
2246,1435228746,11
2247,1436482845,13
2248,1436491741,12
2249,1437193663,12
2250,1437193874,12
2251,1437199073,12
2252,1441404710,13
2253,1445172359,13
2254,1445188457,15
2255,1445188983,15
2256,1445189544,15
2257,1445189678,15
2258,1445189745,15
2259,1445190436,15
2260,1446106797,11
2261,1446668751,11
2262,1446668752,11
2263,1451330943,20
2264,1453378388,9
2265,1453378429,9
2266,1455662412,10
2267,1455662486,10
2268,1456998655,13
2269,1457127628,13
2270,1457212170,13
2271,1457508323,10
2272,1457508328,10
2273,1457508337,10
2274,1457508340,10
2275,1457508354,10
2276,1457508356,10
2277,1457508358,10
2278,1457508366,10
2279,1457518492,10
2280,1457528051,10
2281,1457605333,11
2282,1459441901,11
2283,1460632654,19
2284,1460654259,19
2285,1460654271,19
2286,1460654283,19
2287,1460654298,19
2288,1460836596,11
2289,1460907383,11
2290,1462040934,11
2291,1462078916,11
2292,1463214671,11
2293,1463847141,19
2294,1463880702,11
2295,1463905253,19
2296,1466008981,20
2297,1466018812,20
2298,1468201480,20
2299,1468478379,11
2300,1468478395,11
2301,1468478396,11
2302,1468756551,11
2303,1468756556,11
2304,1468826955,11
2305,1470547233,11
2306,1470620219,11
2307,1470620223,11
2308,1470620224,11
2309,1470620226,11
2310,1471456194,11
2311,1471616627,11
2312,1471616691,11
2313,1471792368,11
2314,1472702426,13
2315,1472702433,13
2316,1475043495,11
2317,1475048309,13
2318,1475053086,13
2319,1475093843,13
2320,1475094119,13
2321,1475094365,13
2322,1475510934,13
2323,1475554792,13
2324,1475554793,13
2325,1475554795,13
2326,1475554903,13
2327,1477423344,13
2328,1477423346,13
2329,1477423450,13
2330,1477428786,13
2331,1477428838,13
2332,1477518000,13
2333,1477518007,13
2334,1477518017,13
2335,1477518030,13
2336,1479810149,11
2337,1480615912,11
2338,1481155124,13
2339,1481169099,9
2340,1481170411,9
2341,1481175673,9
2342,1481190830,9
2343,1481195456,9
2344,1487935154,11
2345,1487935155,11
2346,1487935157,11
2347,1487935158,11
2348,1487935159,11
2349,1487935163,11
2350,1487935164,11
2351,1487935167,11
2352,1487935175,11
2353,1487951489,11
2354,1487951582,11
2355,1488004642,11
2356,1488004701,11
2357,1488004725,11
2358,1488004798,11
2359,1488004984,11
2360,1488005046,11
2361,1488237303,11
2362,1488237305,11
2363,1488237486,11
2364,1488237696,11
2365,1488237727,11
2366,1488237744,11
2367,1489215539,11
2368,1489215569,11
2369,1489599875,13
2370,1489599880,13
2371,1490059658,13
2372,1490059729,13
2373,1491009682,10
2374,1491010231,10
2375,1491010342,9
2376,1491138470,10
2377,1491138570,10
2378,1492416006,11
2379,1492922644,11
2380,1492967701,13
2381,1493162353,11
2382,1493162361,11
2383,1493162375,11
2384,1493598084,14
2385,1493598738,13
2386,1493650256,14
2387,1493928005,13
2388,1495061091,9
2389,1496017558,9
2390,1496088639,9
2391,1496089047,9
2392,1499469768,9
2393,1499469771,9
2394,1500359405,13
2395,1500359584,13
2396,1500926463,11
2397,1502369801,11
2398,1502369846,11
2399,1502369921,11
2400,1502521002,12
2401,1503600242,11
2402,1503600427,11
2403,1503600453,11
2404,1503600472,11
2405,1503618271,10
2406,1503618622,10
2407,1503618751,10
2408,1504644475,9
2409,1504644483,9
2410,1504657686,9
2411,1506292522,13
2412,1506883747,10
2413,1506883863,10
2414,1506883970,10
2415,1506884123,10
2416,1506884141,10
2417,1506884259,9
2418,1513554455,9
2419,1513554765,9
2420,1513586871,9
2421,1513586906,9
2422,1513587063,9
2423,1513587064,9
2424,1513694518,8
2425,1513694538,8
2426,1513782303,9
2427,1514206648,10
2428,1514206732,10
2429,1514207441,10
2430,1514208421,10
2431,1514209678,10
2432,1514210246,10
2433,1514211876,10
2434,1514221291,10
2435,1514221399,10
2436,1514224902,10
2437,1514239410,10
2438,1514246077,10
2439,1514720307,11
2440,1514728962,11
2441,1514729097,11
2442,1514927997,11
2443,1514994107,9
2444,1515321179,10
2445,1515344419,10
2446,1515345214,10
2447,1515347017,10
2448,1515348621,10
2449,1515348949,10
2450,1515350181,10
2451,1515350212,10
